program,section,stage,mean,sd,n_cells,basis_model,embedding_mode
P04,E16.5_E1S1.MOSTA,E16.5,2.5955017073018844e-08,4.666379682631633,121762,stage_grouped,raw_apply_stage_procrustes
P05,E16.5_E1S1.MOSTA,E16.5,1.0859500922241409e-06,4.032588256209409,121762,stage_grouped,raw_apply_stage_procrustes
P02,E16.5_E1S2.MOSTA,E16.5,-8.111790872686044e-07,1.3381565567789278,120826,stage_grouped,raw_apply_stage_procrustes
P04,E16.5_E1S2.MOSTA,E16.5,-1.1580048811003245e-06,3.334451943169789,120826,stage_grouped,raw_apply_stage_procrustes
P05,E16.5_E1S2.MOSTA,E16.5,-1.116554855265214e-06,3.8826228617015057,120826,stage_grouped,raw_apply_stage_procrustes
P02,E16.5_E1S3.MOSTA,E16.5,-3.679392804783087e-07,1.791820007596798,155741,stage_grouped,raw_apply_stage_procrustes
P04,E16.5_E1S3.MOSTA,E16.5,3.7642408755942305e-06,3.909000783162187,155741,stage_grouped,raw_apply_stage_procrustes
P05,E16.5_E1S3.MOSTA,E16.5,4.3782641890634455e-08,2.7798414269397513,155741,stage_grouped,raw_apply_stage_procrustes
P02,E16.5_E1S4.MOSTA,E16.5,-1.6456076625615845e-07,1.402441840370442,135959,stage_grouped,raw_apply_stage_procrustes
P04,E16.5_E1S4.MOSTA,E16.5,-5.121313458667914e-07,3.445813888375068,135959,stage_grouped,raw_apply_stage_procrustes
P05,E16.5_E1S4.MOSTA,E16.5,-1.1666913379805273e-06,4.0257677611662706,135959,stage_grouped,raw_apply_stage_procrustes
